[1]	train-mlogloss:3.310050 
[56]	train-mlogloss:1.887119 
[57]	train-mlogloss:1.881477 
[58]	train-mlogloss:1.877857 
[59]	train-mlogloss:1.872813 
[60]	train-mlogloss:1.868674 
[61]	train-mlogloss:1.864488 
[62]	train-mlogloss:1.859693 
[63]	train-mlogloss:1.856045 
[64]	train-mlogloss:1.852083 
[65]	train-mlogloss:1.847649 
[66]	train-mlogloss:1.843771 
[67]	train-mlogloss:1.839359 
[68]	train-mlogloss:1.835924 
[69]	train-mlogloss:1.832404 
[70]	train-mlogloss:1.828326 
[71]	train-mlogloss:1.824311 
[72]	train-mlogloss:1.821124 
[73]	train-mlogloss:1.818197 
[74]	train-mlogloss:1.813461 
[75]	train-mlogloss:1.809604 
[76]	train-mlogloss:1.805965 
[77]	train-mlogloss:1.802903 
[78]	train-mlogloss:1.798772 
[79]	train-mlogloss:1.795695 
[80]	train-mlogloss:1.792777 
[81]	train-mlogloss:1.789912 
[82]	train-mlogloss:1.786238 
[83]	train-mlogloss:1.782381 
[84]	train-mlogloss:1.778870 
[85]	train-mlogloss:1.775810 
[86]	train-mlogloss:1.771697 
[87]	train-mlogloss:1.767471 
[88]	train-mlogloss:1.764354 
[89]	train-mlogloss:1.761183 
[90]	train-mlogloss:1.757730 
[91]	train-mlogloss:1.755963 
[92]	train-mlogloss:1.753262 
[93]	train-mlogloss:1.750198 
[94]	train-mlogloss:1.745963 
[95]	train-mlogloss:1.743555 
[96]	train-mlogloss:1.740781 
[97]	train-mlogloss:1.738029 
[98]	train-mlogloss:1.734652 
[99]	train-mlogloss:1.731787 
[100]	train-mlogloss:1.728969 
[101]	train-mlogloss:1.726440 
[102]	train-mlogloss:1.724186 
[103]	train-mlogloss:1.721293 
[104]	train-mlogloss:1.718080 
[105]	train-mlogloss:1.715360 
[106]	train-mlogloss:1.712500 
[107]	train-mlogloss:1.709241 
[108]	train-mlogloss:1.707220 
[109]	train-mlogloss:1.704553 
[110]	train-mlogloss:1.702700 
[111]	train-mlogloss:1.699764 
[112]	train-mlogloss:1.697096 
[113]	train-mlogloss:1.693954 
[114]	train-mlogloss:1.691591 
[115]	train-mlogloss:1.689564 
[116]	train-mlogloss:1.686690 
[117]	train-mlogloss:1.685178 
[118]	train-mlogloss:1.681956 
[119]	train-mlogloss:1.679237 
[120]	train-mlogloss:1.676905 
[121]	train-mlogloss:1.674695 
[122]	train-mlogloss:1.673013 
[123]	train-mlogloss:1.670258 
[124]	train-mlogloss:1.667596 
[125]	train-mlogloss:1.664889 
[126]	train-mlogloss:1.661973 
[127]	train-mlogloss:1.659267 
[128]	train-mlogloss:1.657128 
[129]	train-mlogloss:1.655601 
[130]	train-mlogloss:1.653074 
[131]	train-mlogloss:1.650450 
[132]	train-mlogloss:1.647989 
[133]	train-mlogloss:1.645644 
[134]	train-mlogloss:1.643272 
[135]	train-mlogloss:1.641247 
[136]	train-mlogloss:1.638769 
[137]	train-mlogloss:1.637144 
[138]	train-mlogloss:1.635428 
[139]	train-mlogloss:1.634049 
[140]	train-mlogloss:1.632271 
[141]	train-mlogloss:1.629520 
[142]	train-mlogloss:1.627413 
[143]	train-mlogloss:1.625214 
[144]	train-mlogloss:1.622909 
[145]	train-mlogloss:1.620594 
[146]	train-mlogloss:1.618574 
[147]	train-mlogloss:1.616375 
[148]	train-mlogloss:1.614615 
[149]	train-mlogloss:1.612506 
[150]	train-mlogloss:1.609481 
[151]	train-mlogloss:1.607276 
[152]	train-mlogloss:1.605379 
[153]	train-mlogloss:1.603396 
[154]	train-mlogloss:1.601964 
[155]	train-mlogloss:1.600239 
[156]	train-mlogloss:1.598501 
[157]	train-mlogloss:1.595999 
[158]	train-mlogloss:1.593438 
[159]	train-mlogloss:1.591176 
[160]	train-mlogloss:1.589330 
[161]	train-mlogloss:1.587696 
[162]	train-mlogloss:1.585771 
[163]	train-mlogloss:1.583362 
[164]	train-mlogloss:1.581186 
[165]	train-mlogloss:1.579496 
[166]	train-mlogloss:1.577874 
[167]	train-mlogloss:1.575833 
[168]	train-mlogloss:1.573875 
[169]	train-mlogloss:1.572115 
[170]	train-mlogloss:1.570340 
[171]	train-mlogloss:1.568594 
[172]	train-mlogloss:1.566881 
[173]	train-mlogloss:1.564464 
[174]	train-mlogloss:1.562216 
[175]	train-mlogloss:1.560117 
[176]	train-mlogloss:1.557994 
[177]	train-mlogloss:1.556728 
[178]	train-mlogloss:1.554833 
[179]	train-mlogloss:1.552659 
[180]	train-mlogloss:1.550992 
[181]	train-mlogloss:1.549435 
[182]	train-mlogloss:1.547791 
[183]	train-mlogloss:1.545839 
[184]	train-mlogloss:1.543952 
[185]	train-mlogloss:1.542501 
[186]	train-mlogloss:1.541086 
[187]	train-mlogloss:1.539403 
[188]	train-mlogloss:1.537952 
[189]	train-mlogloss:1.535973 
[190]	train-mlogloss:1.534279 
[191]	train-mlogloss:1.532868 
[192]	train-mlogloss:1.531100 
[193]	train-mlogloss:1.529517 
[194]	train-mlogloss:1.527553 
[195]	train-mlogloss:1.525660 
[196]	train-mlogloss:1.523682 
[197]	train-mlogloss:1.521765 
[198]	train-mlogloss:1.520397 
[199]	train-mlogloss:1.518903 
[200]	train-mlogloss:1.517771 
[201]	train-mlogloss:1.516116 
[202]	train-mlogloss:1.514915 
[203]	train-mlogloss:1.513123 
[204]	train-mlogloss:1.511393 
[205]	train-mlogloss:1.509533 
[206]	train-mlogloss:1.507724 
[207]	train-mlogloss:1.506433 
[208]	train-mlogloss:1.504641 
[209]	train-mlogloss:1.503201 
[210]	train-mlogloss:1.501576 
[211]	train-mlogloss:1.499679 
[212]	train-mlogloss:1.498343 
[213]	train-mlogloss:1.496825 
[214]	train-mlogloss:1.495402 
[215]	train-mlogloss:1.493621 
[216]	train-mlogloss:1.491923 
[217]	train-mlogloss:1.490192 
[218]	train-mlogloss:1.488567 
[219]	train-mlogloss:1.487002 
[220]	train-mlogloss:1.484939 
[221]	train-mlogloss:1.483450 
[222]	train-mlogloss:1.482038 
[223]	train-mlogloss:1.480492 
[224]	train-mlogloss:1.479159 
[225]	train-mlogloss:1.477645 
[226]	train-mlogloss:1.475935 
[227]	train-mlogloss:1.474464 
[228]	train-mlogloss:1.472968 
[229]	train-mlogloss:1.471407 
[230]	train-mlogloss:1.469622 
[231]	train-mlogloss:1.467600 
[232]	train-mlogloss:1.466072 
[233]	train-mlogloss:1.464240 
[234]	train-mlogloss:1.463049 
[235]	train-mlogloss:1.461389 
[236]	train-mlogloss:1.460139 
[237]	train-mlogloss:1.458492 
[238]	train-mlogloss:1.457561 
[239]	train-mlogloss:1.456827 
[240]	train-mlogloss:1.455634 
[241]	train-mlogloss:1.454246 
[242]	train-mlogloss:1.452722 
[243]	train-mlogloss:1.451639 
[244]	train-mlogloss:1.450255 
[245]	train-mlogloss:1.448897 
[246]	train-mlogloss:1.447110 
[247]	train-mlogloss:1.445733 
[248]	train-mlogloss:1.444554 
[249]	train-mlogloss:1.443194 
[250]	train-mlogloss:1.442153 
[251]	train-mlogloss:1.440609 
[252]	train-mlogloss:1.439126 
[253]	train-mlogloss:1.437806 
[254]	train-mlogloss:1.436432 
[255]	train-mlogloss:1.435024 
[256]	train-mlogloss:1.433357 
[257]	train-mlogloss:1.432030 
[258]	train-mlogloss:1.430579 
[259]	train-mlogloss:1.428866 
[260]	train-mlogloss:1.427618 
[261]	train-mlogloss:1.426483 
[262]	train-mlogloss:1.425276 
[263]	train-mlogloss:1.424261 
[264]	train-mlogloss:1.422932 
[265]	train-mlogloss:1.421916 
[266]	train-mlogloss:1.420847 
[267]	train-mlogloss:1.419430 
[268]	train-mlogloss:1.418393 
[269]	train-mlogloss:1.416718 
[270]	train-mlogloss:1.415610 
[271]	train-mlogloss:1.414036 
[272]	train-mlogloss:1.412815 
[273]	train-mlogloss:1.411792 
[274]	train-mlogloss:1.410804 
[275]	train-mlogloss:1.409747 
[276]	train-mlogloss:1.408373 
[277]	train-mlogloss:1.407234 
[278]	train-mlogloss:1.406427 
[279]	train-mlogloss:1.404939 
[280]	train-mlogloss:1.403307 
[281]	train-mlogloss:1.401961 
[282]	train-mlogloss:1.400249 
[283]	train-mlogloss:1.399037 
[284]	train-mlogloss:1.397654 
[285]	train-mlogloss:1.396244 
[286]	train-mlogloss:1.394881 
[287]	train-mlogloss:1.393834 
[288]	train-mlogloss:1.392889 
[289]	train-mlogloss:1.391769 
[290]	train-mlogloss:1.390311 
[291]	train-mlogloss:1.389470 
[292]	train-mlogloss:1.388286 
[293]	train-mlogloss:1.386955 
[294]	train-mlogloss:1.385649 
[295]	train-mlogloss:1.384679 
[296]	train-mlogloss:1.383621 
[297]	train-mlogloss:1.382588 
[298]	train-mlogloss:1.381329 
[299]	train-mlogloss:1.380091 
[300]	train-mlogloss:1.379041 
Warning message:
In check.booster.params(params, ...) :
  The following parameters were provided multiple times:
	eta
  Only the last value for each of them will be used.

> predicted.labels_XGB <- predict(xgbModel, data.matrix(test_set2))
> cm_xg = table(test_set1[,1], predicted.labels_XGB)
> 
> library(caret)
> confusionMatrix(cm_xg)
Confusion Matrix and Statistics

    predicted.labels_XGB
         0     1     2     3     4     5     6     7     8     9    10    11    12    13    14
  0   1037     1     5     4     3     5     7     0     0     2     2     1     2     1     1
  1      1    35    25     0     1     2     3     0     0     0     0     0     0     0     0
  2      8     4   933     4    23    29    23     0     0    10     2     0     5    12     3
  3      3     0     6   299    11    10     2     0     0     2     0     0     0     2     3
  4      5     2    11     5  1206    52    25     1     0     8     0     0     6     6     0
  5      0     3    52    13    60   471    29     2     0    24     2     1     5    12     1
  6     34     1    22     9    16    38   639    10     0    61    32    12    80    67    51
  7      0     0     2     1     2     2     5   225     0     2     0     0     0     0     0
  8      0     0     0     0     0     0     0     0     6     0     0     0     0     0     0
  9     16     0    13     3    14    15    18     0     0   729     7     0     2     7     7
  10     3     0     9     1     2     7    22     0     0    14   246     0     1     2     0
  11     7     0     4     0     2     2    17     0     0     0     0    72     1     6     9
  12    10     0     9     2     9     9    33     0     0     0     0     0   342     0     1
  13     6     0     9     1     5     9    34     1     0     4     1     0     1   530     2
  14    14     0     4     1     5     5    44     1     0     3     1     8     3     1   291
  15     1     0     1     0     1     1     1     0     0     1     1     0     0     1     0
  16    24     2    23     5    25    25    64     2     0    16     4     0     8    18     4
  17    34     0    57     8    35    59    95     1     0    25     9     2     9    24     4
  18     5     0     8     3     1     4    35     0     0     3     0     0     3     1     1
  19     4     0     7     1     1     4    20     1     0     5     2     0     1     3     1
  20     6     0     8     1     0     6    15     0     0     0     2     0     1     4     1
  21     8     0     3     0     2     2    22     0     0     2     4     0     3     1     2
  22    10     0     8     1     5    13    65     0     0     3     3     0     2     3     0
  23     7     0     2     1     1     3    10     0     0     2     1     0     1     0     3
  24    11     2    20     3    16    20    32     0     0    19    11     1     6    12     4
  25     8     0    10     2    18    15    18     1     0     0     1     0     4     4     1
    predicted.labels_XGB
        15    16    17    18    19    20    21    22    23    24    25    26    27    28    29
  0      0     6    10     1     0     2     0     1     0     1     1     2     0     4     2
  1      0     0     0     0     1     0     0     4     0     0     0     0     1     2     4
  2      0    24    30     1    15     1     0     3     4     5     2     8     5    64    21
  3      0     4     4     0     1     1     0     1     0     0     0     0     4     4     4
  4      0    21    31     5     6     1     0     3     3     7     1     1    13    22   200
  5      0    29    18     4     1     5     1    10     3    65    18    41    49   271   117
  6      4   206   555    37    78    40    18    88    58    63     3     2     6    38     8
  7      0     1     3     0     0     0     0     0     0     1     1     2     3     3     4
  8      0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  9      0    14    19     1     2     0     1     3     1    16     1     0     4     4    20
  10     0     6    11     1     2     3     2     2     0     7     1     0     3    13     3
  11     2     4     3     1     0     0     2     2     1     2     0     0     0     2     0
  12     0     4     8     2     2     2     3     1     0     1     0     0     1     9     4
  13     0     6    10     4     2     1     0     2     0     5     0     0     3     6     1
  14     0    15    21     3     1     2     1     4     8    10     0     2     1    17    11
  15    35     1     1     0     0     0     0     0     1     1     0     0     0     0     0
  16     1  1926    89    20    14     4     1    10     2    18     5     7     5    59    29
  17     0    79  3266     6     6     8     5    44     3    67     4     5    16   108    36
  18     0    13     8   210     4     0     0     1     0     2     2     1     0     8     2
  19     0     8    10     3   542     1     1     2     0     7     2     3     3    13    12
  20     0    18    12     1     1   264     1     3     0     1     2     2     2     6     4
  21     0     8     7     0     6     3   196     0     0     6     0     2     0    11     3
  22     1    12   108     1     1     0     0   332     1    26     2     2     7    20     7
  23     0     4     3     1     1     0     0     2   223     0     0     2     2     2     0
  24     0    22    60     2     5     2     1    21     2  1522     2     4     8    54    18
  25     0    32    22     1     4     0     0     2     0    11   603     5     4    32    18
    predicted.labels_XGB
        30    31    32    33    34    35    36    37
  0      1    24    42     0     1     0     1   194
  1      2    38    60     0     0     0     0     0
  2      7   328   651     0    13     0     4     9
  3      1    81   234     0     1     0     1     1
  4     34   336  2606     0    11     1     1     4
  5     87   777  2348     0    12     1     8    13
  6      4   252   577    14   114     4    35    72
  7      1     7   152     0     3     0     0     1
  8      0     0     1     0     0     0     0     0
  9      6   109   358     0    18     1     9     7
  10     2    55   133     0    33     0     2     8
  11     1    26    51     0     1     1     0    18
  12     2    38   118     2     2     0     0     8
  13     1    45    95     0    12     3     3     3
  14     1    55   138     2    12     1     0    30
  15     0     7     7     0     1     0     0     3
  16     6   227   869     3    32     3     7    36
  17    15   334  1025    13    52     1    14    30
  18     0    49   118     1     9     0     5     4
  19     4    51   191     1    10     3     0     3
  20     1    33   114     3    10     1     1     8
  21     1    40    74     2     3     0     2     7
  22     2    80   221     2    20     0     5     6
  23     2    17    51     0     0     1     0    10
  24    11   161   667     4    21     3     7     8
  25    10   184   951     2    10     1     4     2
 [ reached getOption("max.print") -- omitted 12 rows ]

Overall Statistics
                                          
               Accuracy : 0.5169          
                 95% CI : (0.5142, 0.5197)
    No Information Rate : 0.5005          
    P-Value [Acc > NIR] : < 2.2e-16       
                                          
                  Kappa : 0.4237          
 Mcnemar's Test P-Value : NA              

Statistics by Class:

                     Class: 0  Class: 1 Class: 2 Class: 3 Class: 4 Class: 5 Class: 6 Class: 7
Sensitivity          0.610000 0.4545455 0.445985 0.559925 0.536955 0.325052  0.27771 0.830258
Specificity          0.997423 0.9988794 0.989580 0.997025 0.972866 0.967892  0.97855 0.998472
Pos Pred Value       0.760264 0.1955307 0.414482 0.439706 0.260250 0.103448  0.19086 0.534442
Neg Pred Value       0.994789 0.9996729 0.990826 0.998163 0.991610 0.992115  0.98673 0.999641
Prevalence           0.013221 0.0005988 0.016270 0.004153 0.017467 0.011269  0.01789 0.002108
Detection Rate       0.008065 0.0002722 0.007256 0.002325 0.009379 0.003663  0.00497 0.001750
Detection Prevalence 0.010608 0.0013921 0.017506 0.005288 0.036039 0.035409  0.02604 0.003274
Balanced Accuracy    0.803711 0.7267124 0.717783 0.778475 0.754911 0.646472  0.62813 0.914365
                      Class: 8 Class: 9 Class: 10 Class: 11 Class: 12 Class: 13 Class: 14 Class: 15
Sensitivity          1.000e+00 0.589806  0.485207 0.5142857  0.498542  0.539166  0.536900 0.7000000
Specificity          1.000e+00 0.994535  0.997283 0.9987154  0.997811  0.997845  0.996681 0.9997666
Pos Pred Value       8.571e-01 0.511579  0.414141 0.3037975  0.549839  0.658385  0.406425 0.5384615
Neg Pred Value       1.000e+00 0.996013  0.997961 0.9994702  0.997312  0.996455  0.998037 0.9998833
Prevalence           4.666e-05 0.009612  0.003943 0.0010888  0.005335  0.007645  0.004215 0.0003889
Detection Rate       4.666e-05 0.005669  0.001913 0.0005599  0.002660  0.004122  0.002263 0.0002722
Detection Prevalence 5.444e-05 0.011082  0.004620 0.0018432  0.004837  0.006260  0.005568 0.0005055
Balanced Accuracy    1.000e+00 0.792170  0.741245 0.7565006  0.748177  0.768505  0.766791 0.8498833
                     Class: 16 Class: 17 Class: 18 Class: 19 Class: 20 Class: 21 Class: 22
Sensitivity            0.51552   0.50277  0.509709  0.526214  0.559322  0.671233  0.420253
Specificity            0.98665   0.98171  0.997730  0.997037  0.997908  0.998254  0.995015
Pos Pred Value         0.53604   0.59393  0.419162  0.589130  0.496241  0.466667  0.342621
Neg Pred Value         0.98552   0.97376  0.998423  0.996177  0.998376  0.999251  0.996411
Prevalence             0.02905   0.05052  0.003204  0.008010  0.003671  0.002271  0.006144
Detection Rate         0.01498   0.02540  0.001633  0.004215  0.002053  0.001524  0.002582
Detection Prevalence   0.02794   0.04277  0.003896  0.007155  0.004137  0.003266  0.007536
Balanced Accuracy      0.75109   0.74224  0.753719  0.761625  0.778615  0.834743  0.707634
                     Class: 23 Class: 24 Class: 25 Class: 26 Class: 27 Class: 28 Class: 29
Sensitivity           0.601078   0.55547  0.721292  0.636714  0.621145   0.52014   0.71032
Specificity           0.998994   0.99015  0.989221  0.996463  0.983777   0.98227   0.96548
Pos Pred Value        0.633523   0.55105  0.304545  0.523207  0.169335   0.49727   0.45120
Neg Pred Value        0.998846   0.99032  0.998160  0.997783  0.997954   0.98379   0.98815
Prevalence            0.002885   0.02131  0.006502  0.006058  0.005296   0.03262   0.03842
Detection Rate        0.001734   0.01184  0.004690  0.003857  0.003290   0.01697   0.02729
Detection Prevalence  0.002738   0.02148  0.015398  0.007373  0.019427   0.03413   0.06048
Balanced Accuracy     0.800036   0.77281  0.855256  0.816589  0.802461   0.75120   0.83790
                     Class: 30 Class: 31 Class: 32 Class: 33 Class: 34 Class: 35 Class: 36
Sensitivity            0.77120   0.50375    0.4775  0.785882   0.65915  0.717277   0.90128
Specificity            0.96708   0.89090    0.9367  0.994039   0.98128  0.991183   0.98232
Pos Pred Value         0.29568   0.33763    0.8832  0.304189   0.39135  0.107959   0.45064
Neg Pred Value         0.99578   0.94207    0.6415  0.999286   0.99370  0.999576   0.99839
Prevalence             0.01761   0.09942    0.5005  0.003305   0.01793  0.001485   0.01583
Detection Rate         0.01358   0.05008    0.2390  0.002598   0.01182  0.001065   0.01427
Detection Prevalence   0.04592   0.14834    0.2706  0.008539   0.03021  0.009869   0.03167
Balanced Accuracy      0.86914   0.69733    0.7071  0.889961   0.82021  0.854230   0.94180
                     Class: 37
Sensitivity           0.574847
Specificity           0.980221
Pos Pred Value        0.271752
Neg Pred Value        0.994462
Prevalence            0.012677
Detection Rate        0.007287
Detection Prevalence  0.026815
Balanced Accuracy     0.777534
